Intervention_ID,Tag,Misinfo,Misinfo_Answer,Trust,TrustScore,Child,Gender,Race,BreastCancer,Familiarity,General,Correct,CorrectUnsure,Adherence,AdherenceUnsure ,Unsure,Participant_ID
Baseline,hrt,True,False,True,4,False,Male,White,False,True,False,0,1,0,1,1,5dd8b42e01fadf8574e8302b
Baseline,rsv_2,True,False,True,4,False,Male,White,False,True,False,0,1,0,1,1,5dd8b42e01fadf8574e8302b
Baseline,texas,True,True,True,4,False,Male,White,False,True,False,0,1,0,1,1,5dd8b42e01fadf8574e8302b
Baseline,formula_2,True,True,True,5,False,Male,White,False,True,False,0,1,0,1,1,5dd8b42e01fadf8574e8302b
Baseline,cosleep_2,False,False,True,5,False,Male,White,False,True,False,1,1,1,1,0,5dd8b42e01fadf8574e8302b
Baseline,formula,True,True,True,5,False,Male,White,False,True,False,0,0,1,1,0,5dd8b42e01fadf8574e8302b
Baseline,hrt_2,True,True,True,4,False,Male,White,False,True,False,0,1,0,1,1,5dd8b42e01fadf8574e8302b
Baseline,papsmear,False,False,True,5,False,Male,White,False,True,False,1,1,1,1,0,5dd8b42e01fadf8574e8302b
Baseline,papsmear_2,False,False,True,5,False,Male,White,False,True,False,0,1,0,1,1,5dd8b42e01fadf8574e8302b
Baseline,mammogram,False,False,True,5,False,Male,White,False,True,False,1,1,1,1,0,5dd8b42e01fadf8574e8302b
Baseline,IUD,False,False,True,4,False,Male,White,False,True,True,1,1,1,1,0,5dd8b42e01fadf8574e8302b
Baseline,IUD_2,False,False,True,4,False,Male,White,False,True,False,1,1,1,1,0,5dd8b42e01fadf8574e8302b
Baseline,breastfeed,False,False,True,5,False,Male,White,False,True,True,1,1,1,1,0,5dd8b42e01fadf8574e8302b
Baseline,breastfeed_2,False,False,True,5,False,Male,White,False,True,False,1,1,1,1,0,5dd8b42e01fadf8574e8302b
Baseline,lung,True,True,True,5,False,Male,White,False,True,False,0,0,1,1,0,5dd8b42e01fadf8574e8302b
Baseline,lung_2,True,True,True,5,False,Male,White,False,True,False,0,1,0,1,1,5dd8b42e01fadf8574e8302b
Baseline,rsv,True,True,True,4,True,Female,2 or more races,True,False,False,0,0,1,1,0,65cdb0822a1cd0edbb04c5d3
Baseline,cosleep,False,False,True,4,True,Female,2 or more races,True,False,True,1,1,1,1,0,65cdb0822a1cd0edbb04c5d3
Baseline,hrt,True,False,False,3,True,Female,2 or more races,True,False,False,1,1,1,1,0,65cdb0822a1cd0edbb04c5d3
Baseline,rsv_2,True,False,True,4,True,Female,2 or more races,True,False,False,1,1,1,1,0,65cdb0822a1cd0edbb04c5d3
Baseline,texas,True,True,True,4,True,Female,2 or more races,True,False,False,0,0,1,1,0,65cdb0822a1cd0edbb04c5d3
Baseline,formula_2,True,True,True,4,True,Female,2 or more races,True,False,False,0,0,1,1,0,65cdb0822a1cd0edbb04c5d3
Baseline,cosleep_2,False,False,True,4,True,Female,2 or more races,True,False,False,1,1,1,1,0,65cdb0822a1cd0edbb04c5d3
Baseline,formula,True,True,True,4,True,Female,2 or more races,True,False,False,0,0,1,1,0,65cdb0822a1cd0edbb04c5d3
Baseline,hrt_2,True,True,False,3,True,Female,2 or more races,True,False,False,0,1,0,1,1,65cdb0822a1cd0edbb04c5d3
Baseline,papsmear,False,False,True,4,True,Female,2 or more races,True,False,False,0,0,0,0,0,65cdb0822a1cd0edbb04c5d3
Baseline,papsmear_2,False,False,True,4,True,Female,2 or more races,True,False,False,1,1,1,1,0,65cdb0822a1cd0edbb04c5d3
Baseline,mammogram,False,False,False,3,True,Female,2 or more races,True,False,False,1,1,1,1,0,65cdb0822a1cd0edbb04c5d3
Baseline,IUD,False,False,False,2,True,Female,2 or more races,True,False,True,1,1,1,1,0,65cdb0822a1cd0edbb04c5d3
Baseline,IUD_2,False,False,False,2,True,Female,2 or more races,True,False,False,1,1,1,1,0,65cdb0822a1cd0edbb04c5d3
Baseline,breastfeed,False,False,True,4,True,Female,2 or more races,True,False,True,1,1,1,1,0,65cdb0822a1cd0edbb04c5d3
Baseline,breastfeed_2,False,False,True,4,True,Female,2 or more races,True,False,False,1,1,1,1,0,65cdb0822a1cd0edbb04c5d3
Baseline,lung,True,True,False,3,True,Female,2 or more races,True,False,False,0,0,1,1,0,65cdb0822a1cd0edbb04c5d3
Baseline,lung_2,True,True,False,3,True,Female,2 or more races,True,False,False,1,1,0,0,0,65cdb0822a1cd0edbb04c5d3
Baseline,rsv,True,True,True,5,False,Female,White,True,True,False,0,0,1,1,0,6104b1c50f6057c1d8a6e3a6
Baseline,cosleep,False,False,True,4,False,Female,White,True,True,True,1,1,1,1,0,6104b1c50f6057c1d8a6e3a6
Baseline,hrt,True,False,True,5,False,Female,White,True,True,False,0,1,0,1,1,6104b1c50f6057c1d8a6e3a6
Baseline,rsv_2,True,False,True,5,False,Female,White,True,True,False,1,1,1,1,0,6104b1c50f6057c1d8a6e3a6
Baseline,texas,True,True,True,5,False,Female,White,True,True,False,0,0,1,1,0,6104b1c50f6057c1d8a6e3a6
Baseline,formula_2,True,True,True,4,False,Female,White,True,True,False,0,0,1,1,0,6104b1c50f6057c1d8a6e3a6
Baseline,cosleep_2,False,False,True,4,False,Female,White,True,True,False,0,0,0,0,0,6104b1c50f6057c1d8a6e3a6
Baseline,formula,True,True,True,4,False,Female,White,True,True,False,0,0,1,1,0,6104b1c50f6057c1d8a6e3a6
Baseline,hrt_2,True,True,True,5,False,Female,White,True,True,False,0,0,1,1,0,6104b1c50f6057c1d8a6e3a6
